data set,frontier size,seconds elapsed,best score,successor count,max depth reached
1,5,0.2,78.13539,1120,100
1,50,0.4,8087.67720,2576,100
1,500,2.4,8094.02268,17017,100
1,5000,22.1,8094.02268,172156,100
1,50000,204.2,8094.02905,1524697,100
1,500000,600.0,8094.06897,4207025,21
2,5,0.4,708.43988,1568,100
2,50,2.9,672.76246,24595,100
2,500,69.3,649.36253,562018,100
2,5000,600.0,649.36253,4980280,98
2,50000,600.0,585.88475,6701483,41
2,500000,600.0,585.88475,6711113,38
3,5,0.8,84.46681,5452,100
3,50,6.6,88.91085,52788,100
3,500,67.2,92.22899,435686,100
3,5000,600.0,92.22899,4121142,90
3,50000,600.0,92.22899,4833632,75
3,500000,600.0,19.69655,7492774,11
